assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130488958,22723773,Geospiza pauper,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Geospiza,pauper,,,,"(Ridgway, 1890)",Critically Endangered,B1ab(v),3.1,Decreasing,Global
130507969,22733280,Scytalopus robbinsi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,RHINOCRYPTIDAE,Scytalopus,robbinsi,,,,"Krabbe & Schulenberg, 1997",Endangered,C2a(i),3.1,Decreasing,Global
130519228,22678869,Pternistis ochropectus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Pternistis,ochropectus,,,,"(Dorst &amp; Jouanin, 1952)",Critically Endangered,"B2ab(i,ii,iii,v)",3.1,Decreasing,Global
130617765,22722293,Nemosia rourei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Nemosia,rourei,,,,"Cabanis, 1870",Critically Endangered,C2a(ii); D,3.1,Decreasing,Global
130649157,22687196,Lophornis brachylophus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Lophornis,brachylophus,,,,"Moore, 1949",Critically Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
130654683,22702350,Synallaxis maranonica,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,maranonica,,,,"Taczanowski, 1879",Critically Endangered,A3c,3.1,Decreasing,Global
130676616,103657434,Formicivora paludicola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Formicivora,paludicola,,,,"Buzzetti et al., 2013",Critically Endangered,B2ab(iii),3.1,Unknown,Global
130697270,22680203,Anas laysanensis,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,laysanensis,,,,"Rothschild, 1892",Critically Endangered,B1ac(iv),3.1,Increasing,Global
130770719,22703255,Grallaria chthonia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,chthonia,,,,"Wetmore & Phelps, 1956",Critically Endangered,"C2a(i,ii); D",3.1,Decreasing,Global
130774493,22728410,Antilophia bokermanni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Antilophia,bokermanni,,,,"Coelho & Silva, 1998",Critically Endangered,C2a(ii),3.1,Decreasing,Global
130790240,22711503,Troglodytes monticola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TROGLODYTIDAE,Troglodytes,monticola,,,,"Bangs, 1899",Critically Endangered,"A3c+4c; C2a(i,ii)",3.1,Decreasing,Global
130792523,22729457,Lipaugus weberi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,weberi,,,,"Cuervo, Salaman, Donegan & Ochoa, 2001",Critically Endangered,C2a(i),3.1,Decreasing,Global
130843089,22720809,Oreomystis bairdi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Oreomystis,bairdi,,,,"(Stejneger, 1887)",Critically Endangered,C2a(ii),3.1,Decreasing,Global
130851810,22720832,Loxops caeruleirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Loxops,caeruleirostris,,,,"(Wilson, 1890)",Critically Endangered,A3ce+4ace,3.1,Decreasing,Global
130854185,22720722,Telespiza ultima,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Telespiza,ultima,,,,"Bryan, 1917",Critically Endangered,B1ac(iv),3.1,Stable,Global
130856048,5670,Crocodylus rhombifer,ANIMALIA,CHORDATA,CROCODYLIA,REPTILIA,CROCODYLIDAE,Crocodylus,rhombifer,,,,"Cuvier, 1807",Critically Endangered,A2cde,3.1,Decreasing,Global
130886700,22685219,Lathamus discolor,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Lathamus,discolor,,,,"(White, 1790)",Critically Endangered,A3ce,3.1,Decreasing,Global
130890144,22724562,Cyanoramphus malherbi,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Cyanoramphus,malherbi,,,,"Souancé, 1857",Critically Endangered,A2bce,3.1,Stable,Global
130894893,22685203,Neophema chrysogaster,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Neophema,chrysogaster,,,,"(Latham, 1790)",Critically Endangered,"A2ace; C2a(i,ii); D",3.1,Decreasing,Global
130895601,22697488,Geronticus eremita,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,THRESKIORNITHIDAE,Geronticus,eremita,,,,"(Linnaeus, 1758)",Endangered,D,3.1,Stable,Global
130983496,56641,Craugastor gulosus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,gulosus,,,,"(Cope, 1875)",Critically Endangered,D,3.1,Unknown,Global
130983680,55309,Duellmanohyla lythrodes,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Duellmanohyla,lythrodes,,,,"(Savage, 1968)",Endangered,B1ab(iii),3.1,Decreasing,Global
