internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
39718,Sarracenia oreophila,Sarracenia oreophila (Kearney) Wherry var. ornata S.McPherson &amp; D.E.Schnell,Sarracenia,oreophila,(Kearney) Wherry,variety,S.McPherson &amp; D.E.Schnell
39739,Tapinanthus letouzeyi,Tapinanthus globiferus (A.Rich.) Tiegh. ssp. letouzeyi Balle,Tapinanthus,globiferus,(A.Rich.) Tiegh.,subspecies,Balle
39741,Ledermanniella keayi,Inversodicraeia keayi G.Taylor,Inversodicraeia,keayi,G.Taylor,,
39741,Ledermanniella keayi,Ledermaniella keayi (G.Taylor) C.Cusset [orth. error],Ledermaniella,keayi,(G.Taylor) C.Cusset [orth. error],,
39741,Ledermanniella keayi,Inversodicrea keayi G.Taylor,Inversodicrea,keayi,G.Taylor,,
39742,Saxicolella marginalis,Butumia marginalis G.Taylor,Butumia,marginalis,G.Taylor,,
39749,Lefebvrea camerunensis,Peucedanum camerunensis Jacq.-Fél.,Peucedanum,camerunensis,Jacq.-Fél.,,
39940,Chassalia laikomensis,Chassalia laikomemsis Cheek [orth. error],Chassalia,laikomemsis,Cheek [orth. error],,
42804,Urceolina astrophiala,Eucharis astrophiala (Ravenna) Ravenna,Eucharis,astrophiala,(Ravenna) Ravenna,,
43022,Xanthosoma eggersii,Xanthosoma riopalenquense Madison,Xanthosoma,riopalenquense,Madison,,
43022,Xanthosoma eggersii,Caladium riopalenquense Madison,Caladium,riopalenquense,Madison,,
43022,Xanthosoma eggersii,Caladium eggersii Engl.,Caladium,eggersii,Engl.,,
43102,Nordenstamia limonensis,Aequatorium limonense B.Nord.,Aequatorium,limonense,B.Nord.,,
43565,Cynophalla heterophylla,Capparis heterophylla Ruiz & Pav. ex DC.,Capparis,heterophylla,Ruiz & Pav. ex DC.,,
43571,Vasconcellea horovitziana,Carica horovitziana V.M.Badillo,Carica,horovitziana,V.M.Badillo,,
43572,Vasconcellea omnilingua,Carica omnilingua V.M.Badillo,Carica,omnilingua,V.M.Badillo,,
43616,Ctenitis palatangana,Ctenitis pallatangana (Hook.) Ching [orth. error],Ctenitis,pallatangana,(Hook.) Ching [orth. error],,
43616,Ctenitis palatangana,Nephrodium palatanganum Hook.,Nephrodium,palatanganum,Hook.,,
43780,Pentacalia befarioides,Monticalia befarioides (Cuatrec.) B.Nord.,Monticalia,befarioides,(Cuatrec.) B.Nord.,,
43780,Pentacalia befarioides,Senecio befarioides Cuatrec.,Senecio,befarioides,Cuatrec.,,
43781,Pentacalia microdon,Monticalia microdon (Wedd.) B.Nord.,Monticalia,microdon,(Wedd.) B.Nord.,,
43781,Pentacalia microdon,Senecio microdon Wedd.,Senecio,microdon,Wedd.,,
43783,Pentacalia rosmarinifolia,Monticalia rosmarinifolia (Benth.) C.Jeffrey,Monticalia,rosmarinifolia,(Benth.) C.Jeffrey,,
43783,Pentacalia rosmarinifolia,Culcitium rosmarinifolium Benth.,Culcitium,rosmarinifolium,Benth.,,
43734,Microgramma tuberosum,Solanopteris tuberosum (Maxon) Rauh,Solanopteris,tuberosum,(Maxon) Rauh,,
43739,Amauropelta aculeata,Thelypteris aculeata A.R.Sm.,Thelypteris,aculeata,A.R.Sm.,,
43740,Amauropelta appressa,Thelypteris appressa A.R.Sm.,Thelypteris,appressa,A.R.Sm.,,
43741,Amauropelta bonapartii,Thelypteris bonapartii (Rosenst.) Alston,Thelypteris,bonapartii,(Rosenst.) Alston,,
43741,Amauropelta bonapartii,Dryopteris bonapartii Rosenst.,Dryopteris,bonapartii,Rosenst.,,
43742,Amauropelta campii,Thelypteris campii A.R.Sm.,Thelypteris,campii,A.R.Sm.,,
43743,Amauropelta straminea,Thelypteris chimboracensis A.R.Sm.,Thelypteris,chimboracensis,A.R.Sm.,,
43743,Amauropelta straminea,Nephrodium stramineum Sodiro,Nephrodium,stramineum,Sodiro,,
